passportArea,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role,birthArea,playerId,foot,shortName,currentNationalTeamId
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",74,Marcel,,Sabitzer,2975,1994-03-17,177,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",65596,right,M. Sabitzer,null
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",84,Kolbeinn,,Sig\u00fe\u00f3rsson,3770,1990-03-14,186,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",66,right,K. Sig\u00fe\u00f3rsson,null
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",74,Charles,,Traor\u00e9,3795,1992-01-01,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Mali', 'id': '466', 'alpha3code': 'MLI', 'alpha2code': 'ML'}",393284,left,C. Traor\u00e9,null
"{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",75,Niklas,,Moisander,2443,1985-09-29,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Finland', 'id': '246', 'alpha3code': 'FIN', 'alpha2code': 'FI'}",77,left,N. Moisander,4849
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",91,Charlison,,Benschop,2455,1989-08-21,191,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",91,right,C. Benschop,18138
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",77,Johann ,,Berg Gu\u00f0munds\u00adson,1646,1990-10-27,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",93,left,J. Gu\u00f0munds\u00adson,7839
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",83,Przemys\u0142aw,,Tyto\u0144,677,1987-01-04,194,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99,right,P. Tyto\u0144,null
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",85,Marcelo Ant\u00f4nio,,Guedes Filho,3766,1987-05-20,191,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",102,right,Marcelo,null
"{'name': 'Cura\\u00e7ao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",65,Jetro,,Willems,2462,1994-03-30,169,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",110,left,J. Willems,null
"{'name': 'Iraq', 'id': '368', 'alpha3code': 'IRQ', 'alpha2code': 'IQ'}",78,Ali Adnan Kadhim,,Al Tameemi,3163,1993-12-19,186,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Iraq', 'id': '368', 'alpha3code': 'IRQ', 'alpha2code': 'IQ'}",131184,left,Ali Adnan,17759
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Kevin,,Strootman,3158,1990-02-13,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",114,left,K. Strootman,null
"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",78,Memphis,,Depay,3766,1994-02-13,176,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",118,right,M. Depay,664
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",61,Dries,,Mertens,3187,1987-05-06,169,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",122,right,D. Mertens,5629
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",78,Ola,,Toivonen,3780,1986-07-03,192,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",123,right,O. Toivonen,7047
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Stefan,,de Vrij,3162,1992-02-05,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",130,right,S. de Vrij,null
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",78,Karim,,El Ahmadi Al Aroos,16469,1985-01-27,179,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",142,right,K. El Ahmadi,16216
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",79,John,,Guidetti,696,1992-04-15,185,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",151,right,J. Guidetti,7047
"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",86,Volkan,,Babacan,4535,1988-08-11,192,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",32923,right,V. Babacan,4687
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",78,Jeffrey,,Gouweleeuw,2481,1991-07-10,188,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",159,right,J. Gouweleeuw,null
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",72,Filip,,\u0110uri\u010di\u0107,3219,1992-01-30,181,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",174,right,F. \u0110uri\u010di\u0107,null
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",70,Peter,,Pekar\u00edk,2457,1986-10-30,176,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",32959,right,P. Pekar\u00edk,14496
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",93,Jago\u0161,,Vukovi\u0107,3194,1988-06-10,195,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",192,left,J. Vukovi\u0107,null
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",77,Nordin,,Amrabat,16470,1987-03-31,178,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",32968,right,N. Amrabat,16216
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",72,Christian,,Kouakou Yao,3783,1991-03-01,182,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",131321,right,C. Kouakou,null
"{'name': 'Venezuela', 'id': '862', 'alpha3code': 'VEN', 'alpha2code': 'VE'}",71,Roberto Jos\u00e9,,Rosales Altuve,683,1988-11-20,175,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Venezuela', 'id': '862', 'alpha3code': 'VEN', 'alpha2code': 'VE'}",254,right,R. Rosales,null
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",80,Nacer,,Chadli,1627,1989-08-02,187,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",261,right,N. Chadli,5629
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",76,Robin,,Gosens,3172,1994-06-05,183,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",295176,left,R. Gosens,null
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",78,Yacine,,Bammou,3770,1991-09-11,188,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",229697,right,Y. Bammou,null
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",86,Florian,,Le Joncour,3783,1995-02-03,193,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",328021,left,F. Le Joncour,null
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",78,Andr\u00e9,,Ramalho Silva,8743,1992-02-16,182,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",65880,right,Andr\u00e9 Ramalho,null
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",69,Davide,,Borsellini,3163,1999-01-04,180,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",393566,left,D. Borsellini,null
"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",81,Leon-Aderemi,,Balogun,1651,1988-06-28,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",16443,right,L. Balogun,16823
"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",70,Godfred,,Donsah,3166,1996-06-07,175,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",295273,right,G. Donsah,17527
"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",82,Hyun-Jun,,Suk,3795,1991-06-29,190,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",382,right,Suk Hyun-Jun,null
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",76,Du\u0161an,,Tadi\u0107,9,1988-11-20,181,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",383,left,D. Tadi\u0107,17322
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",80,Bram,,Nuytinck,3163,1990-05-04,190,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",394,left,B. Nuytinck,null
"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",78,Lasse,,Sch\u00f6ne,9,1986-05-27,177,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",405,right,L. Sch\u00f6ne,7712
"{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}",56,Ablie,,Jallow,3777,1998-11-14,166,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}",376908,left,A. Jallow,null
"{'name': 'Romania', 'id': '642', 'alpha3code': 'ROU', 'alpha2code': 'RO'}",75,Bogdan Sorin,,Stancu,4502,1987-06-28,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Romania', 'id': '642', 'alpha3code': 'ROU', 'alpha2code': 'RO'}",33235,right,B. Stancu,null
"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",90,Gregor,,Kobel,2482,1997-12-06,194,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",328190,right,G. Kobel,null
"{'name': 'Congo DR', 'id': '180', 'alpha3code': 'COD', 'alpha2code': 'CD'}",80,Denis Lemi,,Zakaria Lako Lado,2454,1996-11-20,191,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",360992,right,D. Zakaria,6697
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",76,Marten,,de Roon,3172,1991-03-29,185,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",625,right,M. de Roon,null
"{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}",75,Alex,,Iwobi,1609,1996-05-03,180,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",230020,right,A. Iwobi,16823
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",77,Lorenzo,,Pellegrini,3158,1996-06-19,186,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",328333,right,L. Pellegrini,3757
"{'name': 'Algeria', 'id': '12', 'alpha3code': 'DZA', 'alpha2code': 'DZ'}",75,Mohamed Salim,,Fares,3194,1996-02-15,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",328336,left,M. Fares,null
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",73,Ot\u00e1vio Henrique,,Passos Santos,3772,1994-05-04,176,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",295569,right,Ot\u00e1vio,null
"{'name': 'Argentina', 'id': '32', 'alpha3code': 'ARG', 'alpha2code': 'AR'}",72,Hern\u00e1n Dar\u00edo,,Toledo,714,1996-01-17,180,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Argentina', 'id': '32', 'alpha3code': 'ARG', 'alpha2code': 'AR'}",393881,right,H. Toledo,null
"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",78,Maya,,Yoshida,1619,1988-08-24,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",703,right,M. Yoshida,12913
"{'name': 'Congo', 'id': '178', 'alpha3code': 'COG', 'alpha2code': 'CG'}",78,Bryan,,Passi,3787,1997-08-05,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",426692,right,B. Passi,null
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",73,Hamza,,Mendyl,2449,1997-10-21,179,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",426702,left,H. Mendyl,16216
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",70,Anthony,,Caci,3779,1997-07-01,184,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",426714,right,A. Caci,null
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",77,Miguel \u00c1ngel,,Guerrero Mart\u00edn,712,1990-07-12,182,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",5481,right,Guerrero,null
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",75,R\u00f3bert,,Maz\u00e1\u0148,692,1994-02-09,180,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",786,left,R. Maz\u00e1\u0148,14496
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",71,Martin,,Terrier,3779,1997-03-04,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",394006,right,M. Terrier,4425
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",75,Th\u00e9odore,,Efouba Ayissi,,1997-05-05,184,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Cameroon', 'id': '120', 'alpha3code': 'CMR', 'alpha2code': 'CM'}",394008,right,T. Efouba Ayissi,null
"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",72,Tyronne,,Ebuehi,9607,1995-12-16,187,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",332821,right,T. Ebuehi,16823
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",65,Patrick,,Burner,3775,1996-04-11,170,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Martinique', 'id': '474', 'alpha3code': 'MTQ', 'alpha2code': 'MQ'}",328488,right,P. Burner,null
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",64,Samuel,,Grandsir,3795,1996-08-14,168,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",295761,right,S. Grandsir,4425
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",0,V\u00edctor,,L\u00f3pez Ib\u00e1\u00f1ez,696,1997-05-12,0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",404285,right,V\u00edctor L\u00f3pez,null
"{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",65,Jean Micha\u00ebl,,Seri,3775,1991-07-19,168,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': ""C\\u00f4te d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",131959,right,J. Seri,null
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",77,Gerard,,Gumbau Garriga,712,1994-12-18,187,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",263091,left,Gumbau,null
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",68,Pablo,,Maffeo Becerra,756,1997-07-12,173,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",263105,right,Pablo Maffeo,1604
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",78,Artur,,J\u0119drzejczyk,13505,1987-11-04,189,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99381,right,A. J\u0119drzejczyk,13869
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",75,Maciej,,Rybus,13887,1989-08-19,173,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99391,left,M. Rybus,13869
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",82,Marcin,,Kami\u0144ski,2445,1992-01-15,192,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99410,left,M. Kami\u0144ski,null
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",76,Karim,,Onisiwo,2460,1992-03-17,188,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}","{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",66654,right,K. Onisiwo,null
"{'name': 'Russia', 'id': '643', 'alpha3code': 'RUS', 'alpha2code': 'RU'}",81,Artjoms,,Rud\u0146evs,,1988-01-13,183,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}","{'name': 'Latvia', 'id': '428', 'alpha3code': 'LVA', 'alpha2code': 'LV'}",99425,left,A. Rud\u0146evs,null
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",83,\u0141ukasz,,Skorupski,3158,1991-05-05,190,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99430,right,\u0141. Skorupski,null
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",76,Pawe\u0142,,Olkowski,2463,1990-02-13,184,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}","{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",99437,right,P. Olkowski,null
